code,description,message,cause,troubleshooting,component,equipment,,,
11000,산란광 측정값이 설정된 알람 임계값에 도달하면 이 메시지가 활성화됩니다.,산란광 값이 너무 높음,"1. 보호 유리에 이물질이 축적됨
2. 광섬유가 오염되었거나 결함이 있거나 손상됨
3. 제어 보드 또는 광학부의 평가 전자회로 이상
4. 광학부와 제어 보드 간 연결 불량","1. 보호 유리의 오염 여부를 확인하십시오. 필요 시 청소하거나 교체하십시오.
2. 광섬유의 오염 여부를 확인하십시오. 필요 시 청소하거나 교체하십시오.
3. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",보호 유리/프로세스 파이버,Picker,,,
12000,산란광 측정값이 설정된 알람 임계값에 도달하면 이 메시지가 활성화됩니다.,산란광 값이 너무 높음,"1. 보호 유리에 이물질이 축적됨
2. 광섬유가 오염되었거나 결함이 있거나 손상됨
3. 제어 보드 또는 광학부의 평가 전자회로 이상
4. 광학부와 제어 보드 간 연결 불량","1. 보호 유리의 오염 여부를 확인하십시오. 필요 시 청소하거나 교체하십시오.
2. 광섬유의 오염 여부를 확인하십시오. 필요 시 청소하거나 교체하십시오.
3. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",보호 유리/프로세스 파이버,Picker,,,
11002,용접 광학부의 센서가 보호 유리 또는 보호 유리 홀더가 장착되지 않았음을 감지하면 이 메시지가 활성화됩니다.,보호 유리 장착 안 됨,"1. 보호 유리 또는 보호 유리 홀더가 용접 광학부에 장착되어 있지 않음
2. 보호 유리 홀더와 광학부 간 전기적 접촉 이상
3. 용접 광학부 인터페이스와 제어 보드의 전기 연결 ASZ-A1-X1 사이의 연결 케이블 이상","1. 다음 항목을 확인하십시오:보호 유리홀더와보호 유리가 용접 광학부에 장착되어 있는지 확인하십시오. 필요 시보호 유리를 삽입하고보호 유리홀더를 닫으십시오.
2. 용접 광학부 인터페이스로 가는 케이블 연결을 확인하십시오.
3. 연결 케이블의 연속성 시험을 수행하고 필요 시 광학부를 교체하십시오.",보호 유리,Picker,,,
11003,하부 프레셔 피스 홀더의 온도 센서가 경고 한계 온도를 초과했다고 보고하면 이 메시지가 활성화됩니다.,프레셔 피스 홀더 하부 온도,"1. 부적절한 용접 파라미터 선택 시 하부 프레셔 피스 홀더가 과열될 수 있음
2. 하부 프레셔 피스의 냉각 이상
3. 온도 센서 불량","1. 설정된 프로그램 파라미터를 확인하고 필요 시 조정하십시오.
2. 하부 프레셔 피스의 냉각 상태를 확인하고 물 호스가 꺾이지 않았는지 확인하십시오. 필요 시 원인을 수정하십시오.
3. 온도 센서의 동작을 확인하고 필요 시 교체하십시오.
4. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",프레셔 피스,Picker,,,
11004,레이저 용접 툴(Picker/C-gun)의 흡입 장치의 흡입력이 경고 임계값 이하로 떨어지면 이 메시지가 활성화됩니다.,"흡입력, 용접 툴","1. 흡입 라인이 꺾이거나 분리됨
2. 흡입 시스템의 필터 또는 흡입 라인이 막힘
3. 프레셔 피스, 흡입 호스 또는 레이저 용접 툴(Picker/C-gun)의 샤프트가 막힘
4. 흡입 장치 이상
5. 공정 값에 대한 한계값 설정 오류
6. 센서 이상","1. 흡입 라인이 꺾이거나 분리되었는지 확인하십시오. 필요 시 바로잡고 로봇 이동 중 꺾이거나 분리되지 않도록 하십시오.
2. 메뉴Suction의External탭에서 필터 상태를 확인하고 필요 시 교체하십시오.
3. Clean버튼을 메뉴Suction의External탭에서 클릭하십시오.
4. 필요 시 프레셔 피스와 흡입 라인을 수동으로 청소하고 (프레셔 피스 및 흡입관 수동 청소) 샤프트도 (샤프트 청소) 청소하십시오.
5. 흡입 장치의 오류를 확인하고 문제를 수정하십시오.
6. 필요 시 흡입 호스를 교체하십시오.",프레셔 피스/샤프트/석션 파이프,Picker,,,
11004,레이저 용접 툴(Picker/C-gun)의 흡입 장치의 흡입력이 경고 임계값 이하로 떨어지면 이 메시지가 활성화됩니다.,"흡입력, 용접 툴","1. 흡입 라인이 꺾이거나 분리됨
2. 흡입 시스템의 필터 또는 흡입 라인이 막힘
3. 프레셔 피스, 흡입 호스 또는 레이저 용접 툴(Picker/C-gun)의 샤프트가 막힘
4. 흡입 장치 이상
5. 공정 값에 대한 한계값 설정 오류
6. 센서 이상","1. 흡입 라인이 꺾이거나 분리되었는지 확인하십시오. 필요 시 바로잡고 로봇 이동 중 꺾이거나 분리되지 않도록 하십시오.
2. 메뉴Suction의External탭에서 필터 상태를 확인하고 필요 시 교체하십시오.
3. Clean버튼을 메뉴Suction의External탭에서 클릭하십시오.
4. 필요 시 프레셔 피스와 흡입 라인을 수동으로 청소하고 (프레셔 피스 및 흡입관 수동 청소) 샤프트도 (샤프트 청소) 청소하십시오.
5. 흡입 장치의 오류를 확인하고 문제를 수정하십시오.
6. 필요 시 흡입 호스를 교체하십시오.",석션 호스/석션 모터,Fumator,,,
11005,용접 툴의 압력 컨트롤러에 있는 압력 센서가 공기 압력이 너무 낮다고 보고하면 이 메시지가 활성화됩니다.,레이저 용접 툴(Picker/C-gun) 공기 압력,"1. 압축 공기 연결부에서 누설 발생
2. 압축 공기 호스가 꺾임
3. LSS 컨트롤러의 에어 유지 장치에 있는 차단 밸브가 완전히 열리지 않음
4. 작업자에 의해 공기 압력이 설정되지 않음","1. 레이저 용접 툴(Picker/C-gun)과 LSS 컨트롤러의 압축 공기 연결부에서 누설이 있는지 확인하고 필요 시 수리하십시오.
2. 작업자 측 압축 공기 라인과 LSS 컨트롤러와 레이저 용접 툴(Picker/C-gun) 사이의 라인이 꺾여 있는지 확인하십시오. 필요 시 바로잡고, 로봇 이동 중 꺾이지 않도록 하십시오.
3. 에어 유지 장치의 차단 밸브 빨간 레버가 완전히 열림 위치에 있는지 확인하십시오.
4. 공기 공급 입력 라인(LSS 컨트롤러의 에어 유지 장치)에 압축 공기가 연결되어 있는지 확인하십시오.",에어 시스템,LSS Controller/Picker,,,
11006,LSS 컨트롤러의 에어 유지 장치에 있는 공기 유량 센서가 공기 유량이 너무 낮다고 보고하면 이 메시지가 활성화됩니다.,공기 유량 컨트롤러,"1. 압축 공기 연결부에서 누설 발생
2. 압축 공기 호스가 꺾임
3. LSS 컨트롤러의 에어 유지 장치에 있는 차단 밸브가 완전히 열리지 않음
4. 작업자에 의해 공기 압력이 설정되지 않음","1. 레이저 용접 툴(Picker/C-gun)과 LSS 컨트롤러의 압축 공기 연결부에서 누설이 있는지 확인하고 필요 시 수리하십시오.
2. 작업자 측 압축 공기 라인과 LSS 컨트롤러와 레이저 용접 툴(Picker/C-gun) 사이의 라인이 꺾여 있는지 확인하십시오. 필요 시 바로잡고, 로봇 이동 중 꺾이지 않도록 하십시오.
3. 에어 유지 장치의 차단 밸브 빨간 레버가 완전히 열림 위치에 있는지 확인하십시오.
4. 공기 공급 입력 라인(LSS 컨트롤러의 에어 유지 장치)에 압축 공기가 연결되어 있는지 확인하십시오.",에어 시스템,LSS Controller/Picker,,,
11007,"레이저 용접 툴(Picker/C-gun)의 스트로크 횟수가 950회 용접을 초과했으며, 그 동안 프레셔 피스 형상 점검이 수행되지 않았거나 프레셔 피스가 교체되지 않았거나 LSS 시스템이 재시작되지 않은 경우 이 메시지가 활성화됩니다.",프레셔 피스 형상 점검,"1. 950회 용접 이후 형상 점검이 정상적으로 수행되지 않음
2. 프레셔 피스가 교체되었거나 결함이 있음
3. LSS 시스템이 재시작됨","1. 프레셔 피스의 손상 여부를 확인하십시오.
2. 형상 점검 장치를 사용하여 프레셔 피스의 형상을 확인하십시오.",프레셔 피스,Picker,,,
11202,"레이저 모듈의 동작 온도가 경고 한계값인 33°C에 도달하면 이 메시지가 활성화됩니다. 과열된 레이저 모듈은 차단되며, 레이저 출력은 계속 유지되지만 출력이 감소된 상태로 동작합니다. 과열된 레이저 모듈의 온도가 32°C로 낮아지면 모듈이 다시 켜지며 레이저 출력은 정상 출력으로 복구됩니다.",레이저 모듈 과열,"1. 공업용수(하우스 워터)의 온도 및/또는 유량이 기술 사양 범위를 벗어남
2. 모듈 냉각수 공급 중단(예: 호스 꺾임 또는 막힘)
3. 칠러 파라미터 설정 오류","1. 공업용수 시스템의 온도와 압력을 확인하고 이상이 있는 경우 조치하십시오.
2. 레이저 칠러의 수위 상태를 확인하고 필요 시 물을 보충하십시오.
3. 레이저 모듈 후면과 레이저 내부의 호스 연결 상태를 확인하십시오.
4. 레이저 칠러 파라미터 점검을 위해 담당 IPG 서비스 부서에 문의하십시오.",공업용수/냉각 호스,Customer/LSS Controller,,,
11204,메인 컨트롤과 레이저 모듈 중 하나의 연결이 끊어지면 이 메시지가 활성화됩니다.,레이저 모듈 연결 끊김,"1. 레이저 모듈과 메인 컨트롤 간 통신 케이블이 연결되지 않았거나 손상됨.
2. 레이저 모듈 내부 오류","1. 레이저 모듈과 메인 컨트롤 간 통신 케이블이 정상적으로 연결되어 있고 손상되지 않았는지 확인하십시오.
2. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",레이저 모듈/MCU,LSS Controller,,,
11208,이전에 활성화되어 있던 레이저 모듈이 작업자에 의해 비활성화되면 이 메시지가 활성화됩니다.,활성 레이저 모듈 수 감소,1. 하나 이상의 레이저 모듈이 작업자에 의해 비활성화됨,"1. 메뉴Controller로 이동하여Laser탭을 열고LaserNet버튼을 클릭하십시오.
2. LaserNet 프로그램에서Modules탭으로 이동하여 체크 박스를 통해 비활성화된 레이저 모듈을 다시 활성화하십시오.",레이저 모듈,LSS Controller,,,
11209,전체 레이저 모듈의 평균 온도가 경고 임계값 이하일 경우 이 메시지가 활성화됩니다.,레이저 온도 낮음,"1. 레이저 칠러의 파라미터 설정 오류
2. 레이저가 장시간 꺼진 상태로 저온 환경에 노출됨","1. 레이저 칠러 파라미터 점검을 위해 담당 IPG 서비스 부서에 문의하십시오.
2. 레이저 칠러를 켜고 물 펌프에서 발생하는 잔열로 냉각수와 레이저 모듈이 필요한 온도에 도달할 때까지 기다리십시오.",설정 파라미터,LCI Chiller,,,
11212,레이저 모듈 내부의 레이저 다이오드 라인 중 하나에서 과전류가 감지되면 이 메시지가 활성화됩니다.,레이저 모듈 전류 이상,1. 레이저 모듈 이상,1. 문제 해결을 위해 담당 IPG 서비스 부서에 문의하십시오.,레이저 모듈,LSS Controller,,,
11213,레이저 모듈에서 마이너스 극(−)과 접지(GND) 사이의 전압이 경고 임계값을 초과하면 이 메시지가 활성화됩니다.,예기치 않은 접지 누설,1. 레이저 모듈 내부에서 마이너스 극(–)과 접지(GND) 사이의 전압이 한계값을 초과함.,"1. 먼저 어떤 레이저 모듈에서 오류가 발생하는지 확인하십시오. 이를 위해 LSS 컨트롤러의 우측 패널을 분리하십시오.
2. FM1부터 첫 번째 레이저 모듈의 안전 퓨즈를 차단하십시오 (섹션Electrical mounting plates in the LSS controller참조).
3. 알람 Unexpected ground leakage가 사라지지 않으면 다음 안전 퓨즈를 차단하십시오.
4. 메시지가 계속 표시되는지 확인하십시오.
5. 알람Unexpected ground leakage가 사라질 때까지 이 과정을 반복하십시오.
6. 문제를 일으키는 레이저 모듈의 안전 퓨즈는 차단 상태로 유지하십시오. 다른 모듈의 안전 퓨즈는 다시 연결할 수 있습니다.
7. 해당 레이저 모듈 문제 해결을 위해 담당 IPG 서비스 부서에 문의하십시오.",레이저 모듈,LSS Controller,,,
11214,이슬점 온도가 일정 시간 동안 가장 낮은 온도의 레이저 모듈 온도보다 낮을 경우 이 메시지가 활성화됩니다.,이슬점 온도 높음,"1. 컨트롤러 캐비닛 내부 습도가 높음
2. 레이저 모듈 또는 전원 공급 장치의 온도가 너무 낮음","1. 레이저를 장시간 정지 후 다시 켠 경우, 칠러의 물 펌프에서 발생하는 열로 물과 레이저 모듈 및 전원 공급 장치가 가열되기까지 몇 분이 걸릴 수 있습니다. 예를 들어 물 탱크 전체를 10°C에서 19°C까지 가열하는 데 약 45분이 소요됩니다.
2. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",캐비닛 습도/2X TEC,LSS Controller,,,
11216,레이저 모듈의 이슬점 센서와 LSS 메인 컨트롤 간 통신 오류가 발생하면 이 메시지가 활성화됩니다.,이슬점 모니터 통신 없음,"1. 레이저 모듈과 메인 컨트롤 간 통신 케이블이 연결되지 않았거나 손상됨.
2. 이슬점 센서 불량","1. 레이저 모듈과 메인 컨트롤 간 통신 케이블이 정상적으로 연결되어 있고 손상되지 않았는지 확인하십시오.
2. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",이슬점 센서,LSS Controller,,,
11217,전원 회로에 전압이 공급되지 않으면 이 메시지가 활성화됩니다.,레이저 모듈 전원 전압 준비 안 됨,"1. 메인 전원 공급이 켜지지 않음
2. 모듈의 안전 퓨즈가 차단됨","1. 레이저 전원 공급 장치가 켜져 있는지 확인하십시오.
2. LaserNet의Modules탭에서 모듈 상태(배경색: 빨간색 또는 회색)를 확인하십시오.
3. 빨간색으로 표시된 모든 모듈의 안전 퓨즈를 확인하십시오.
4. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",파워 서플라이,LSS Controller,,,
11306,레이저 칠러의 물 탱크 수위가 너무 낮을 경우 이 메시지가 활성화됩니다.,물 탱크 수위,"1. 수로(워터 회로) 누설
2. 증발","1. 수로의 누설 여부를 확인하고 누설이 있을 경우 조치하십시오.
2. 레이저 칠러의 물 수위를 확인하고 필요 시 보충하십시오.",물 탱크,LCI Chiller,,,
11314,증발 온도 및 이에 따른 증발 압력이 임계 범위 내에 있을 경우 이 경고가 활성화됩니다.,냉매 압력 낮음,"1. 냉각수 온도가 낮아 응축 압력이 낮음
2. 냉각수 유량 설정 오류
3. 팽창 밸브 이상
4. 냉매 부족
5. 냉각수 유량 설정 오류
6. 레이저 회로 내 물 흐름이 없거나 부족",상태 메시지,냉매/공업용수/팽창 밸브,LCI Chiller,,,
